class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,radius,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,weight,ring-number,ring-type,spore-print-color,population,habitat
e,f,f,g,t,n,f,c,b,u,t,b,71,s,s,w,w,p,w,23,o,p,n,y,d
e,x,s,n,t,n,f,c,b,e,e,?,396,s,s,e,w,p,w,35,t,e,w,c,w
p,x,s,n,f,y,f,c,n,b,t,?,288,k,k,w,p,p,w,23,o,e,w,v,p
e,f,s,w,f,n,f,w,b,p,t,e,6,s,f,w,w,p,w,32,o,e,n,a,g
e,f,s,w,f,n,f,w,b,p,t,e,53,s,s,w,w,p,w,23,o,e,k,s,g
e,x,y,g,t,n,f,c,b,u,t,b,151,s,s,p,w,p,w,41,o,p,n,y,d
e,x,y,n,t,n,f,c,b,p,t,b,105,s,s,w,p,p,w,23,o,p,k,v,d
p,x,f,g,f,f,f,c,b,h,e,b,408,k,k,b,p,p,w,50,o,l,h,v,d
p,f,f,g,f,f,f,c,b,h,e,b,133,k,k,n,p,p,w,23,o,l,h,y,p
p,x,f,g,f,f,f,c,b,g,e,b,12,k,k,b,p,p,w,46,o,l,h,v,d
p,f,s,n,f,s,f,c,n,b,t,?,301,s,k,p,p,p,w,23,o,e,w,v,p
p,k,y,n,f,y,f,c,n,b,t,?,408,k,k,p,w,p,w,44,o,e,w,v,l
e,x,s,w,f,n,f,w,b,w,e,?,346,k,k,w,w,p,w,23,t,p,w,n,g
p,f,y,y,f,f,f,c,b,g,e,b,63,k,k,p,b,p,w,31,o,l,h,y,d
e,f,s,n,f,n,a,c,b,n,e,?,269,s,s,o,o,p,o,28,o,p,n,c,l
e,x,s,e,t,n,f,c,b,e,e,?,110,s,s,e,w,p,w,29,t,e,w,c,w
e,f,s,w,f,n,f,w,b,k,t,e,22,f,s,w,w,p,w,41,o,e,k,a,g
p,f,f,y,f,f,f,c,b,p,e,b,237,k,k,p,p,p,w,24,o,l,h,v,d
e,f,s,b,t,n,f,c,b,w,e,?,147,s,s,e,w,p,w,24,t,e,w,c,w
p,f,f,g,f,f,f,c,b,g,e,b,79,k,k,n,p,p,w,35,o,l,h,y,g
e,k,y,p,t,n,f,c,b,e,e,?,299,s,s,w,e,p,w,40,t,e,w,c,w
p,k,y,n,f,y,f,c,n,b,t,?,596,s,k,p,p,p,w,23,o,e,w,v,p
e,s,f,n,f,n,f,c,n,k,e,e,5,s,s,w,w,p,w,36,o,p,n,v,u
e,f,s,n,f,n,f,w,b,k,t,e,151,s,f,w,w,p,w,25,o,e,n,s,g
e,f,y,g,t,n,f,c,b,p,t,b,300,s,s,g,w,p,w,45,o,p,k,v,d
p,f,s,n,f,f,f,c,n,b,t,?,110,s,s,p,w,p,w,26,o,e,w,v,l
e,f,y,b,t,n,f,c,b,e,e,?,19,s,s,e,e,p,w,41,t,e,w,c,w
e,x,f,n,f,n,f,w,b,n,t,e,54,f,f,w,w,p,w,36,o,e,n,s,g
e,f,s,b,t,n,f,c,b,e,e,?,378,s,s,w,e,p,w,32,t,e,w,c,w
e,b,y,w,t,l,f,c,b,w,e,c,95,s,s,w,w,p,w,23,o,p,k,n,m
e,b,s,n,f,n,a,c,b,o,e,?,511,s,s,o,o,p,n,23,o,p,b,v,l
e,b,f,g,f,n,f,w,b,g,e,?,123,k,k,w,w,p,w,47,t,p,w,n,g
e,x,y,y,t,l,f,c,b,p,e,r,44,s,y,w,w,p,w,23,o,p,n,s,p
p,x,y,e,f,f,f,c,n,b,t,?,75,k,s,w,p,p,w,28,o,e,w,v,d
e,k,y,n,t,n,f,c,b,e,e,?,66,s,s,w,e,p,w,23,t,e,w,c,w
p,f,y,g,f,f,f,c,b,h,e,b,123,k,k,p,b,p,w,65,o,l,h,y,d
e,f,f,g,t,n,f,c,b,n,t,b,365,s,s,g,p,p,w,23,o,p,n,v,d
p,x,y,n,t,p,f,c,n,k,e,e,23,s,s,w,w,p,w,23,o,p,k,v,u
p,f,y,g,f,f,f,c,b,p,e,b,328,k,k,b,n,p,w,46,o,l,h,v,p
e,x,s,g,f,n,f,w,b,k,t,e,354,f,s,w,w,p,w,25,o,e,k,s,g
e,x,s,w,t,l,f,c,b,k,e,c,105,s,s,w,w,p,w,23,o,p,n,s,g
p,k,s,n,f,y,f,c,n,b,t,?,13,s,k,w,w,p,w,39,o,e,w,v,d
e,f,f,e,t,n,f,c,b,n,t,b,38,s,s,p,p,p,w,27,o,p,n,v,d
e,f,f,g,t,n,f,c,b,w,t,b,20,s,s,g,g,p,w,31,o,p,n,v,d
e,x,y,y,t,l,f,c,b,k,e,c,68,s,s,w,w,p,w,23,o,p,n,s,m
e,b,s,n,f,n,a,c,b,o,e,?,272,s,s,o,o,p,n,23,o,p,o,c,l
e,x,f,g,f,n,f,c,n,g,e,e,20,s,s,w,w,p,w,23,o,p,n,y,u
p,f,s,e,f,s,f,c,n,b,t,?,286,k,s,p,w,p,w,43,o,e,w,v,l
e,x,f,n,t,n,f,c,b,u,t,b,194,s,s,p,g,p,w,23,o,p,k,v,d
p,x,f,y,f,f,f,c,b,p,e,b,166,k,k,b,p,p,w,26,o,l,h,y,p
p,x,y,w,t,p,f,c,n,n,e,e,13,s,s,w,w,p,w,37,o,p,k,s,u
e,x,f,n,t,n,f,c,b,w,t,b,267,s,s,p,w,p,w,26,o,p,k,y,d
p,k,s,e,f,y,f,c,n,b,t,?,274,s,k,w,p,p,w,23,o,e,w,v,d
p,x,f,g,f,f,f,c,b,p,e,b,550,k,k,n,p,p,w,23,o,l,h,y,g
p,x,y,y,f,f,f,c,b,h,e,b,4,k,k,p,b,p,w,23,o,l,h,y,g
p,f,f,y,f,f,f,c,b,g,e,b,408,k,k,n,p,p,w,31,o,l,h,y,g
e,f,f,g,t,n,f,c,b,n,t,b,11,s,s,w,w,p,w,24,o,p,n,v,d
e,f,y,e,t,n,f,c,b,p,t,b,360,s,s,g,p,p,w,52,o,p,k,y,d
e,f,y,p,t,n,f,c,b,w,e,?,3,s,s,w,e,p,w,26,t,e,w,c,w
e,x,y,e,t,n,f,c,b,n,t,b,20,s,s,w,g,p,w,24,o,p,k,y,d
e,x,y,w,t,a,f,c,b,g,e,c,39,s,s,w,w,p,w,24,o,p,n,s,m
p,x,s,g,f,c,f,w,n,g,e,b,175,s,s,w,w,p,w,24,o,p,n,s,d
e,x,y,n,t,a,f,c,b,n,e,r,4,s,y,w,w,p,w,53,o,p,n,y,p
e,x,y,e,t,n,f,c,b,u,t,b,5,s,s,w,p,p,w,30,o,p,n,v,d
p,f,s,w,t,p,f,c,n,k,e,e,119,s,s,w,w,p,w,24,o,p,n,v,u
e,x,y,e,t,n,f,c,b,w,t,b,279,s,s,w,w,p,w,23,o,p,k,y,d
p,f,s,w,t,p,f,c,n,k,e,e,175,s,s,w,w,p,w,23,o,p,k,v,g
p,x,f,g,f,c,f,w,n,n,e,b,103,s,s,w,w,p,w,26,o,p,k,s,d
p,x,f,g,f,f,f,c,b,h,e,b,73,k,k,n,b,p,w,23,o,l,h,y,d
e,x,y,e,t,n,f,c,b,p,t,b,146,s,s,w,w,p,w,23,o,p,n,y,d
p,k,s,n,f,y,f,c,n,b,t,?,211,s,s,w,w,p,w,56,o,e,w,v,l
p,f,s,w,t,p,f,c,n,n,e,e,257,s,s,w,w,p,w,27,o,p,n,s,u
p,f,y,g,f,f,f,c,b,g,e,b,402,k,k,b,p,p,w,23,o,l,h,y,p
p,f,y,y,f,f,f,c,b,p,e,b,102,k,k,p,n,p,w,23,o,l,h,y,g
e,x,y,n,t,n,f,c,b,w,t,b,340,s,s,p,p,p,w,23,o,p,n,v,d
e,x,y,g,t,n,f,c,b,w,t,b,167,s,s,w,p,p,w,34,o,p,n,y,d
p,x,s,n,f,f,f,c,n,b,t,?,7,k,k,w,w,p,w,23,o,e,w,v,l
e,b,s,w,f,n,f,w,b,w,e,?,256,k,s,w,w,p,w,23,t,p,w,s,g
p,f,f,g,f,f,f,c,b,p,e,b,189,k,k,p,p,p,w,41,o,l,h,y,p
e,f,f,n,f,n,f,w,b,k,t,e,190,s,f,w,w,p,w,45,o,e,k,s,g
e,x,s,w,t,l,f,c,b,k,e,c,30,s,s,w,w,p,w,22,o,p,k,s,g
e,x,y,w,t,l,f,c,b,n,e,c,75,s,s,w,w,p,w,23,o,p,n,s,m
e,f,y,e,t,n,f,c,b,p,t,b,114,s,s,g,g,p,w,75,o,p,n,y,d
e,x,y,g,t,n,f,c,b,p,t,b,129,s,s,p,w,p,w,23,o,p,k,v,d
p,x,f,y,f,f,f,c,b,g,e,b,123,k,k,p,p,p,w,28,o,l,h,v,d
p,f,y,g,f,f,f,c,b,h,e,b,27,k,k,b,p,p,w,24,o,l,h,y,p
e,x,s,g,f,n,f,w,b,n,t,e,65,f,s,w,w,p,w,23,o,e,k,a,g
e,s,f,g,f,n,f,c,n,k,e,e,110,s,s,w,w,p,w,30,o,p,n,y,u
p,f,y,y,f,f,f,c,b,h,e,b,234,k,k,p,n,p,w,23,o,l,h,v,d
p,f,y,y,f,f,f,c,b,h,e,b,106,k,k,p,n,p,w,45,o,l,h,y,g
e,x,f,y,t,l,f,w,n,p,t,b,39,s,s,w,w,p,w,47,o,p,u,v,d
p,f,y,n,f,y,f,c,n,b,t,?,211,k,k,w,p,p,w,40,o,e,w,v,d
p,x,f,g,f,f,f,c,b,p,e,b,165,k,k,n,n,p,w,23,o,l,h,y,p
p,x,y,y,f,f,f,c,b,h,e,b,214,k,k,p,b,p,w,5,o,l,h,y,d
e,x,y,g,t,n,f,c,b,w,t,b,206,s,s,p,w,p,w,47,o,p,k,y,d
p,f,s,n,f,f,f,c,n,b,t,?,215,k,k,w,w,p,w,22,o,e,w,v,l
p,k,s,e,f,f,f,c,n,b,t,?,299,s,s,p,w,p,w,24,o,e,w,v,d
p,f,f,y,f,f,f,c,b,p,e,b,604,k,k,b,b,p,w,25,o,l,h,y,d
e,x,y,y,t,l,f,c,b,w,e,c,112,s,s,w,w,p,w,23,o,p,k,n,g
p,x,s,e,f,y,f,c,n,b,t,?,22,k,k,p,p,p,w,23,o,e,w,v,l
p,x,f,g,f,f,f,c,b,p,e,b,126,k,k,n,p,p,w,34,o,l,h,y,p
e,x,f,n,f,n,f,w,b,k,t,e,244,s,s,w,w,p,w,41,o,e,k,s,g
e,f,y,e,t,n,f,c,b,n,t,b,26,s,s,g,p,p,w,23,o,p,n,y,d
e,k,s,g,f,n,f,w,b,p,e,?,204,k,s,w,w,p,w,24,t,p,w,n,g
p,x,y,n,f,s,f,c,n,b,t,?,220,k,s,p,w,p,w,23,o,e,w,v,d
p,x,s,w,t,p,f,c,n,w,e,e,26,s,s,w,w,p,w,55,o,p,n,v,g
e,x,y,e,t,n,f,c,b,w,t,b,20,s,s,g,p,p,w,24,o,p,k,y,d
e,x,s,w,f,n,f,w,b,p,e,?,404,s,s,w,w,p,w,56,t,p,w,s,g
p,x,f,g,f,f,f,c,b,p,e,b,251,k,k,b,b,p,w,27,o,l,h,y,p
e,b,y,y,t,a,f,c,b,k,e,c,95,s,s,w,w,p,w,38,o,p,n,n,g
e,x,y,n,t,n,f,c,b,p,t,b,208,s,s,g,g,p,w,24,o,p,k,v,d
e,x,f,w,f,n,f,w,b,n,t,e,123,s,f,w,w,p,w,23,o,e,k,s,g
p,f,y,n,f,f,f,c,n,b,t,?,224,s,k,p,p,p,w,24,o,e,w,v,d
p,f,y,g,f,f,f,c,b,p,e,b,202,k,k,n,n,p,w,41,o,l,h,v,d
p,x,s,p,f,c,f,w,n,u,e,b,22,s,s,w,w,p,w,37,o,p,k,s,d
e,x,s,e,t,n,f,c,b,e,e,?,133,s,s,w,e,p,w,23,t,e,w,c,w
p,x,y,g,f,f,f,c,b,p,e,b,84,k,k,n,p,p,w,44,o,l,h,v,d
e,k,s,p,t,n,f,c,b,e,e,?,216,s,s,e,e,p,w,23,t,e,w,c,w
e,f,f,n,f,n,f,w,b,h,t,e,241,f,s,w,w,p,w,45,o,e,n,a,g
p,f,y,e,f,f,f,c,n,b,t,?,264,k,s,w,w,p,w,32,o,e,w,v,d
e,x,f,n,t,n,f,c,b,u,t,b,11,s,s,w,w,p,w,23,o,p,k,y,d
e,f,f,y,t,a,f,w,n,n,t,b,233,s,s,w,w,p,w,41,o,p,n,v,d
p,k,s,n,f,f,f,c,n,b,t,?,8,s,s,w,p,p,w,23,o,e,w,v,p
p,k,s,e,f,y,f,c,n,b,t,?,21,k,k,p,p,p,w,25,o,e,w,v,p
p,x,s,e,f,y,f,c,n,b,t,?,330,k,k,w,w,p,w,27,o,e,w,v,p
e,k,s,g,f,n,f,w,b,w,e,?,506,s,s,w,w,p,w,25,t,p,w,s,g
p,k,s,e,f,s,f,c,n,b,t,?,299,s,s,w,w,p,w,24,o,e,w,v,d
p,x,f,g,f,f,f,c,b,g,e,b,3,k,k,b,b,p,w,36,o,l,h,v,g
p,f,s,e,f,y,f,c,n,b,t,?,749,s,s,w,w,p,w,23,o,e,w,v,p
p,f,s,n,f,f,f,c,n,b,t,?,579,s,s,p,p,p,w,23,o,e,w,v,d
p,f,s,n,f,f,f,c,n,b,t,?,2,k,k,p,w,p,w,28,o,e,w,v,p
p,f,y,n,f,f,f,c,n,b,t,?,136,s,s,w,p,p,w,62,o,e,w,v,l
e,x,f,n,t,n,f,c,b,p,t,b,54,s,s,w,w,p,w,37,o,p,n,y,d
e,k,s,b,t,n,f,c,b,w,e,?,423,s,s,e,e,p,w,36,t,e,w,c,w
e,f,f,w,f,n,f,w,b,h,t,e,150,f,s,w,w,p,w,38,o,e,k,s,g
e,f,f,n,f,n,f,w,b,h,t,e,173,s,f,w,w,p,w,35,o,e,k,a,g
p,x,f,g,f,c,f,w,n,g,e,b,156,s,s,w,w,p,w,54,o,p,k,v,d
e,x,s,n,f,n,a,c,b,n,e,?,428,s,s,o,o,p,n,26,o,p,o,v,l
p,f,f,g,f,f,f,c,b,p,e,b,5,k,k,n,b,p,w,23,o,l,h,y,p
e,x,y,y,t,a,f,c,b,g,e,c,170,s,s,w,w,p,w,27,o,p,n,s,g
e,k,s,b,t,n,f,c,b,e,e,?,375,s,s,w,w,p,w,32,t,e,w,c,w
e,x,f,e,t,n,f,c,b,p,t,b,23,s,s,w,w,p,w,75,o,p,n,v,d
p,k,y,n,f,y,f,c,n,b,t,?,70,s,s,w,w,p,w,37,o,e,w,v,p
p,x,y,e,f,f,f,c,n,b,t,?,120,k,s,p,w,p,w,39,o,e,w,v,d
e,f,f,n,t,n,f,c,b,u,t,b,15,s,s,p,p,p,w,23,o,p,n,y,d
e,k,y,n,t,n,f,c,b,e,e,?,520,s,s,e,e,p,w,91,t,e,w,c,w
p,f,y,n,t,p,f,c,n,k,e,e,33,s,s,w,w,p,w,67,o,p,k,s,g
e,x,s,w,t,a,f,c,b,w,e,c,1,s,s,w,w,p,w,23,o,p,k,n,m
e,x,s,w,f,n,f,w,b,h,t,e,14,s,s,w,w,p,w,71,o,e,k,s,g
p,x,s,w,t,f,f,c,b,p,t,b,69,f,s,w,w,p,w,26,o,p,h,s,g
p,x,s,w,f,c,f,c,n,g,e,b,3500,s,s,w,w,p,w,23,o,p,n,s,d
p,x,y,y,f,f,f,c,b,g,e,b,105,k,k,p,b,p,w,30,o,l,h,v,d
e,b,s,w,t,a,f,c,b,n,e,c,26,s,s,w,w,p,w,55,o,p,k,s,m
e,f,f,e,t,n,f,c,b,p,t,b,6,s,s,w,p,p,w,23,o,p,n,v,d
p,f,y,e,f,y,f,c,n,b,t,?,26,s,k,w,p,p,w,22,o,e,w,v,l
p,x,s,b,t,f,f,c,b,h,t,b,203,s,s,w,w,p,w,42,o,p,h,v,g
p,f,f,y,f,f,f,c,b,h,e,b,163,k,k,p,p,p,w,25,o,l,h,v,p
p,x,f,p,f,c,f,c,n,u,e,b,376,s,s,w,w,p,w,31,o,p,n,v,d
e,f,f,n,f,n,f,w,n,w,e,b,295,f,f,w,n,p,w,55,o,e,w,v,l
p,f,y,n,f,f,f,c,n,b,t,?,461,s,k,p,w,p,w,35,o,e,w,v,d
e,b,f,w,f,n,f,w,b,p,e,?,292,k,k,w,w,p,w,57,t,p,w,s,g
e,x,y,r,f,n,f,c,n,w,e,?,87,s,f,w,w,p,w,36,o,f,h,v,d
e,x,y,g,t,n,f,c,b,n,t,b,35,s,s,w,w,p,w,48,o,p,k,v,d
p,f,s,n,f,s,f,c,n,b,t,?,612,s,k,p,p,p,w,27,o,e,w,v,d
e,x,f,e,t,n,f,c,b,w,t,b,125,s,s,w,g,p,w,0,o,p,k,y,d
e,b,s,y,t,a,f,c,b,w,e,c,84,s,s,w,w,p,w,23,o,p,n,n,g
e,b,y,w,t,l,f,c,b,g,e,c,71,s,s,w,w,p,w,77,o,p,n,n,g
e,x,s,w,f,n,f,w,b,k,t,e,142,f,f,w,w,p,w,23,o,e,n,s,g
e,x,f,g,t,n,f,c,b,w,t,b,29,s,s,g,g,p,w,35,o,p,n,y,d
e,f,y,n,t,n,f,c,b,n,t,b,308,s,s,g,p,p,w,24,o,p,k,y,d
p,k,y,n,f,s,f,c,n,b,t,?,8,s,s,w,w,p,w,24,o,e,w,v,p
p,x,y,g,f,f,f,c,b,g,e,b,83,k,k,p,n,p,w,23,o,l,h,y,d
p,f,s,n,t,p,f,c,n,k,e,e,10,s,s,w,w,p,w,23,o,p,k,s,u
e,f,s,n,f,n,a,c,b,n,e,?,126,s,s,o,o,p,o,23,o,p,o,v,l
e,f,s,n,f,n,f,w,b,k,t,e,10,s,f,w,w,p,w,48,o,e,k,a,g
